APP6-C-Domain;APP6-C-FullPath;APP6-NAME;APP6-NAME-FR;APP6-C-HIERARCHY-NAME;APP6-C-HIERARCHY;APP6-B-SIDC;APP6-C-SIDC;APP6-D-SIDC;APP6-D-Domain;APP6-D-Entity;APP6-D-EntityType;APP6-D-EntitySubtype
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|UTILITY;UTILITY;UTILITE;AIRTRK.MIL.FIXD.DRN.UTY;1.X.2.1.1.16.17;S*A*MFQU--;S*A*MFQU--;10030100001103000700;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|COMMUNICATIONS;COMMUNICATIONS;COMMUNICATIONS;AIRTRK.MIL.FIXD.DRN.COMM;1.X.2.1.1.16.18;S*A*MFQY--;S*A*MFQY--;10030100001103002300;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|MEDEVAC;MEDEVAC;MEDEVAC;AIRTRK.MIL.FIXD.DRN.MEDV;1.X.2.1.1.16.19;S*A*MFQO--;S*A*MFQO--;10030100001103001400;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|BOMBER;BOMBER;BOMBARDIER;AIRTRK.MIL.FIXD.DRN.BMB;1.X.2.1.1.16.2;S*A*MFQB--;S*A*MFQB--;10030100001103000200;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|CARGO;CARGO;CARGO;AIRTRK.MIL.FIXD.DRN.CGO;1.X.2.1.1.16.3;S*A*MFQC--;S*A*MFQC--;10030100001103000300;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|AIRBORNE COMMAND POST;AIRBORNE COMMAND POST;POSTE DE COMMANDEMENT AEROPORTE;AIRTRK.MIL.FIXD.DRN.ABNCP;1.X.2.1.1.16.4;S*A*MFQD--;S*A*MFQD--;10030100001103001100;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|FIGHTER;FIGHTER;CHASSEUR;AIRTRK.MIL.FIXD.DRN.FTR;1.X.2.1.1.16.5;S*A*MFQF--;S*A*MFQF--;10030100001103000400;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|SEARCH & RESCUE (CSAR);SEARCH & RESCUE (CSAR);RECHERCHE ET SAUVETAGE (CSAR);AIRTRK.MIL.FIXD.DRN.CSAR;1.X.2.1.1.16.6;S*A*MFQH--;S*A*MFQH--;10030100001103003000;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|ELECTRONIC COUNTERMEASURES (JAMMER);ELECTRONIC COUNTERMEASURES (JAMMER);CONTRE-MESURES ELECTRONIQUES (BROUILLEUR);AIRTRK.MIL.FIXD.DRN.ECM;1.X.2.1.1.16.7;S*A*MFQJ--;S*A*MFQJ--;10030100001103001600;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|TANKER;TANKER;CITERNE;AIRTRK.MIL.FIXD.DRN.TNK;1.X.2.1.1.16.8;S*A*MFQK--;S*A*MFQK--;10030100001103000600;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|DRONE (RPV/UA)|V/STOL;V/STOL;V/STOL;AIRTRK.MIL.FIXD.DRN.VSTOL;1.X.2.1.1.16.9;S*A*MFQL--;S*A*MFQL--;10030100001103000800;Air;Military;Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remotely Piloted Vehicle (RPV);
AIR;AIR TRACK|MILITARY|FIXED WING|ANTISUBMARINE WARFARE (ASW) CARRIER BASED;ANTISUBMARINE WARFARE (ASW) CARRIER BASED;GUERRE ANTI-SOUS-MARINE (ASW) SUR PORTE-AVIONS;AIRTRK.MIL.FIXD.ASBWCB;1.X.2.1.1.17;S*A*MFS---;S*A*MFS---;10030100001101180000;Air;Military;Fixed Wing;Antisubmarine Warfare
AIR;AIR TRACK|MILITARY|FIXED WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);AIRTRK.MIL.FIXD.SOF;1.X.2.1.1.18;S*A*MFM---;S*A*MFM---;10030100001101260000;Air;Military;Fixed Wing;Special Operations Forces
AIR;AIR TRACK|MILITARY|FIXED WING|FIGHTER;FIGHTER;CHASSEUR;AIRTRK.MIL.FIXD.FTR;1.X.2.1.1.2;S*A*MFF---;S*A*MFF---;10030100001101040000;Air;Military;Fixed Wing;Fighter
AIR;AIR TRACK|MILITARY|FIXED WING|FIGHTER|INTERCEPTOR;INTERCEPTOR;INTERCEPTEUR;AIRTRK.MIL.FIXD.FTR.INCR;1.X.2.1.1.2.1;S*A*MFFI--;S*A*MFFI--;10030100001101020500;Air;Military;Fixed Wing;Attack/Strike
AIR;AIR TRACK|MILITARY|FIXED WING|TRAINER;TRAINER;FORMATEUR;AIRTRK.MIL.FIXD.TNE;1.X.2.1.1.3;S*A*MFT---;S*A*MFT---;10030100001101120000;Air;Military;Fixed Wing;Trainer
AIR;AIR TRACK|MILITARY|FIXED WING|ATTACK/STRIKE;ATTACK/STRIKE;ATTAQUE/FRAPPE;AIRTRK.MIL.FIXD.ATK;1.X.2.1.1.4;S*A*MFA---;S*A*MFA---;10030100001101020000;Air;Military;Fixed Wing;Attack/Strike
AIR;AIR TRACK|MILITARY|FIXED WING|V/STOL;V/STOL;V/STOL;AIRTRK.MIL.FIXD.VSTOL;1.X.2.1.1.5;S*A*MFL---;S*A*MFL---;10030100001101140000;Air;Military;Fixed Wing;Vertical or Short Take-off and Landing (VSTOL)
AIR;AIR TRACK|MILITARY|FIXED WING|TANKER;TANKER;CITERNE;AIRTRK.MIL.FIXD.TNK;1.X.2.1.1.6;S*A*MFK---;S*A*MFK---;10030100001101090000;Air;Military;Fixed Wing;Tanker
AIR;AIR TRACK|MILITARY|FIXED WING|TANKER|TANKER BOOM-ONLY;TANKER BOOM-ONLY;RAVITAILLEUR A FLECHE UNIQUEMENT;AIRTRK.MIL.FIXD.TNK.BOOM;1.X.2.1.1.6.1;S*A*MFKB--;S*A*MFKB--;10030100001101090004;Air;Military;Fixed Wing;Tanker
AIR;AIR TRACK|MILITARY|FIXED WING|TANKER|TANKER DROGUE-ONLY;TANKER DROGUE-ONLY;RAVITAILLEUR DOSEUR UNIQUEMENT;AIRTRK.MIL.FIXD.TNK.DROG;1.X.2.1.1.6.2;S*A*MFKD--;S*A*MFKD--;10030100001101090005;Air;Military;Fixed Wing;Tanker
AIR;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT);AIRTRK.MIL.FIXD.CGOALT;1.X.2.1.1.7;S*A*MFC---;S*A*MFC---;10030100001101070000;Air;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER);AIRTRK.MIL.FIXD.CGOALT.LIT;1.X.2.1.1.7.1;S*A*MFCL--;S*A*MFCL--;10030100001101070003;Air;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (MEDIUM);CARGO AIRLIFT (MEDIUM);TRANSPORT AERIEN DE FRET (MOYEN);AIRTRK.MIL.FIXD.CGOALT.MDM;1.X.2.1.1.7.2;S*A*MFCM--;S*A*MFCM--;10030100001101070002;Air;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|FIXED WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (HEAVY);CARGO AIRLIFT (HEAVY);TRANSPORT AERIEN DE FRET (LOURD);AIRTRK.MIL.FIXD.CGOALT.HVY;1.X.2.1.1.7.3;S*A*MFCH--;S*A*MFCH--;10030100001101070001;Air;Military;Fixed Wing;Cargo
AIR;AIR TRACK|MILITARY|FIXED WING|ELECTRONIC COUNTERMEASURES (ECM/JAMMER);ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER);AIRTRK.MIL.FIXD.ECM;1.X.2.1.1.8;S*A*MFJ---;S*A*MFJ---;10030100001101080000;Air;Military;Fixed Wing;Electronic Combat (EC)/Jammer
AIR;AIR TRACK|MILITARY|FIXED WING|MEDICAL EVACUATION (MEDEVAC);MEDICAL EVACUATION (MEDEVAC);EVACUATION MEDICALE (MEDEVAC);AIRTRK.MIL.FIXD.MEDV;1.X.2.1.1.9;S*A*MFO---;S*A*MFO---;10030100001101010000;Air;Military;Fixed Wing;Medical Evacuation (MEDEVAC)
AIR;AIR TRACK|MILITARY|ROTARY WING;ROTARY WING;AILE ROTATIVE;AIRTRK.MIL.ROT;1.X.2.1.2;S*A*MH----;S*A*MH----;10030100001102000000;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|ATTACK;ATTACK;ATTAQUE;AIRTRK.MIL.ROT.ATK;1.X.2.1.2.1;S*A*MHA---;S*A*MHA---;10030100001102000100;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|MEDEVAC;MEDEVAC;MEDEVAC;AIRTRK.MIL.ROT.MEDV;1.X.2.1.2.10;S*A*MHO---;S*A*MHO---;10030100001102001400;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|SPECIAL OPERATIONS FORCES (SOF);SPECIAL OPERATIONS FORCES (SOF);FORCES SPECIALES (SOF);AIRTRK.MIL.ROT.SOF;1.X.2.1.2.11;S*A*MHM---;S*A*MHM---;10030100001102002700;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|AIRBORNE COMMAND POST (C2);AIRBORNE COMMAND POST (C2);POSTE DE COMMANDEMENT AEROPORTE (C2);AIRTRK.MIL.ROT.ABNCP;1.X.2.1.2.12;S*A*MHD---;S*A*MHD---;10030100001102001100;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|TANKER;TANKER;CITERNE;AIRTRK.MIL.ROT.TNK;1.X.2.1.2.13;S*A*MHK---;S*A*MHK---;10030100001102000600;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|ELECTRONIC COUNTERMEASURES (ECM/JAMMER);ELECTRONIC COUNTERMEASURES (ECM/JAMMER);CONTRE-MESURES ELECTRONIQUES (ECM/JAMMER);AIRTRK.MIL.ROT.ECM;1.X.2.1.2.14;S*A*MHJ---;S*A*MHJ---;10030100001102001600;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|ANTISUBMARINE WARFARE/MPA;ANTISUBMARINE WARFARE/MPA;LUTTE ANTI-SOUS-MARINE/MPA;AIRTRK.MIL.ROT.ASBW;1.X.2.1.2.2;S*A*MHS---;S*A*MHS---;10030100001102003200;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY;UTILITY;UTILITE;AIRTRK.MIL.ROT.UTY;1.X.2.1.2.3;S*A*MHU---;S*A*MHU---;10030100001102000700;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (LIGHT);UTILITY (LIGHT);UTILITAIRE (LEGER);AIRTRK.MIL.ROT.UTY.LIT;1.X.2.1.2.3.1;S*A*MHUL--;S*A*MHUL--;10030100001102000703;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (MEDIUM);UTILITY (MEDIUM);UTILITAIRE (MOYEN);AIRTRK.MIL.ROT.UTY.MDM;1.X.2.1.2.3.2;S*A*MHUM--;S*A*MHUM--;10030100001102000702;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|UTILITY|UTILITY (HEAVY);UTILITY (HEAVY);UTILITAIRE (LOURD);AIRTRK.MIL.ROT.UTY.HVY;1.X.2.1.2.3.3;S*A*MHUH--;S*A*MHUH--;10030100001102000701;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|MINE COUNTERMEASURES;MINE COUNTERMEASURES;CONTRE-MESURES ANTIMINES;AIRTRK.MIL.ROT.MNECM;1.X.2.1.2.4;S*A*MHI---;S*A*MHI---;10030100001102002500;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|COMBAT SEARCH AND RESCUE (CSAR);COMBAT SEARCH AND RESCUE (CSAR);RECHERCHE ET SAUVETAGE AU COMBAT (CSAR);AIRTRK.MIL.ROT.CSAR;1.X.2.1.2.5;S*A*MHH---;S*A*MHH---;10030100001102003000;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|RECONNAISSANCE;RECONNAISSANCE;RECONNAISSANCE;AIRTRK.MIL.ROT.RECON;1.X.2.1.2.6;S*A*MHR---;S*A*MHR---;10030100001102001800;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|DRONE (RPV/UA);DRONE (RPV/UA);DRONE (RPV/UA);AIRTRK.MIL.ROT.DRN;1.X.2.1.2.7;S*A*MHQ---;S*A*MHQ---;10030100001104000000;Air;Military;Vertical–Takeoff UAV (VT–UAV);
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT);CARGO AIRLIFT (TRANSPORT);TRANSPORT AERIEN DE FRET (TRANSPORT);AIRTRK.MIL.ROT.CGOALT;1.X.2.1.2.8;S*A*MHC---;S*A*MHC---;10030100001102000300;Air;Military;Rotary Wing;
AIR;AIR TRACK|MILITARY|ROTARY WING|CARGO AIRLIFT (TRANSPORT)|CARGO AIRLIFT (LIGHT);CARGO AIRLIFT (LIGHT);TRANSPORT AERIEN DE FRET (LEGER);AIRTRK.MIL.ROT.CGOALT.LIT;1.X.2.1.2.8.1;S*A*MHCL--;S*A*MHCL--;10030100001102000303;Air;Military;Rotary Wing;
